state,restoration_type2,mapped_area_ha,scaled_area_ha,total_removals_tonnesCo2ePerYear_scaled,total_removals_vehiclesPerYear_scaled,sum_total_removals_tonnesCo2ePerYear_scaled,sum_total_removals_total_removals_vehiclesPerYear_scaled
AL,ag land,9.3042,9.054531541332542,51.28852468085021,11.1496792784457,2555.714345979041,555.590075212835
AL,impoundment,557.4150000000001,1091.7012493222635,1080.7842368290408,234.95309496283497,2555.714345979041,555.590075212835
AL,other drained,645.9003,938.3104839830971,1423.6415844691498,309.4873009715543,2555.714345979041,555.590075212835
CA,ag land,120249.1242,133303.75269767575,755086.3099957254,164149.1978251577,952440.6277008827,207052.31036975712
CA,impoundment,43037.980200000005,86183.08114838778,85321.25033690389,18548.097899326935,952440.6277008827,207052.31036975712
CA,other drained,31004.993700000003,45668.9346503113,112033.06736825343,24355.014645272488,952440.6277008827,207052.31036975712
CT,ag land,23.1183,23.153167542431486,131.14889484001907,28.510629313047623,3511.8307418635386,763.4414656225085
CT,impoundment,546.1731,1087.3577363171867,1076.484158954015,234.01829542478586,3511.8307418635386,763.4414656225085
CT,other drained,1099.0818,1475.5028716611137,2304.1976880695047,500.912540884675,3511.8307418635386,763.4414656225085
DC,ag land,0.6903,0.6589067368901246,3.732313956067369,0.8113725991450803,16.67432161663936,3.624852525356383
DC,impoundment,1.4067,2.8276778796351256,2.7994011008387742,0.6085654567040814,16.67432161663936,3.624852525356383
DC,other drained,4.440600000000001,6.913011976974993,10.142606559733219,2.2049144695072216,16.67432161663936,3.624852525356383
DE,ag land,623.1393,670.6110131326822,3798.6117052328173,825.7851533114822,9252.223848727195,2011.353010592869
DE,impoundment,1826.6751000000002,3662.589261398903,3625.963368784913,788.2529062575899,9252.223848727195,2011.353010592869
DE,other drained,866.6721,1135.7904043380845,1827.6487747094654,397.3149510237969,9252.223848727195,2011.353010592869
FL,ag land,927.0702000000001,946.8200921775316,5363.1715174107785,1165.9068516110387,70271.05522579441,15276.316353433569
FL,impoundment,13906.44,27223.477163761767,26951.242392124146,5858.965737418293,70271.05522579441,15276.316353433569
FL,other drained,17743.374900000003,24246.004376562243,37956.64131625948,8251.443764404237,70271.05522579441,15276.316353433569
GA,ag land,55.94310000000001,56.32960191040052,319.07362237968033,69.36383095210442,13953.798595187674,3033.434477214712
GA,impoundment,1739.421,3729.8062235588313,3692.508161323243,802.7191655050528,13953.798595187674,3033.434477214712
GA,other drained,4493.2833,5764.649263660882,9942.216811484752,2161.351480757555,13953.798595187674,3033.434477214712
LA,ag land,69010.1928,75736.32423541666,429001.137944391,93261.11694443283,611425.5080914653,132918.58871553594
LA,impoundment,68393.41200000001,143740.0971636829,142302.69619204605,30935.36873740132,611425.5080914653,132918.58871553594
LA,other drained,15942.225600000002,23416.688807921262,40121.6739550283,8722.103033701804,611425.5080914653,132918.58871553594
MA,ag land,196.9857,213.4962376535184,1209.3289425495402,262.8975962064218,21399.675035399276,4652.103268565061
MA,impoundment,6150.4767,12194.861911573047,12072.913292457315,2624.5463679255035,21399.675035399276,4652.103268565061
MA,other drained,3889.5084,5255.310733237174,8117.432800392421,1764.659304433135,21399.675035399276,4652.103268565061
MD,ag land,1382.9283,1512.9042092928203,8569.700654735088,1862.97840320328,17901.383423675976,3891.605092103473
MD,impoundment,1141.6851,2276.025587564611,2253.2653316889646,489.8402894976011,17901.383423675976,3891.605092103473
MD,other drained,3305.3265,4110.827533836463,7078.417437251923,1538.786399402592,17901.383423675976,3891.605092103473
ME,ag land,146.31480000000002,161.9455723777845,917.3251479590118,199.41851042587217,12816.742068978932,2786.2482758649853
ME,impoundment,2810.2545,5676.773194230311,5620.005462288006,1221.740317888697,12816.742068978932,2786.2482758649853
ME,other drained,3011.6142000000004,3904.1427789183826,6279.411458731914,1365.0894475504163,12816.742068978932,2786.2482758649853
MS,ag land,4.455,4.233593940852019,23.98078645293794,5.213214446290857,2519.308940255248,547.6758565772279
MS,impoundment,481.91760000000005,957.2779902427893,947.7052103403614,206.02287181312207,2519.308940255248,547.6758565772279
MS,other drained,779.9301,1070.7016431688469,1547.622943461949,336.43977031781503,2519.308940255248,547.6758565772279
NC,ag land,18819.468,20620.197149135052,116801.12721234918,25391.549393988953,146111.57723417884,31763.386355256273
NC,impoundment,4025.1627000000003,8054.127498699024,7973.586223712033,1733.388309502616,146111.57723417884,31763.386355256273
NC,other drained,9890.9235,12294.249177962685,21336.86379811764,4638.448651764705,146111.57723417884,31763.386355256273
NH,ag land,22.0896,22.05985130092317,124.95590994835442,27.164328249642267,1243.7592658776177,270.38244910382997
NH,impoundment,360.6201,723.0326354083263,715.802309054243,155.6091976204876,1243.7592658776177,270.38244910382997
NH,other drained,179.8416,241.80096269265366,403.00104687502034,87.60892323370008,1243.7592658776177,270.38244910382997
NJ,ag land,1300.2579,1440.938043780003,8162.055218939625,1774.3598302042662,24336.96479970181,5290.644521674307
NJ,impoundment,5970.8943,11971.709307724872,11851.992214647622,2576.520046662527,24336.96479970181,5290.644521674307
NJ,other drained,1988.4663,2790.862598252917,4322.917366114564,939.7646448075141,24336.96479970181,5290.644521674307
NY,ag land,194.09400000000002,195.879819495563,1109.542433069945,241.20487675433586,10129.576922241442,2202.0819396177053
NY,impoundment,796.2012,1595.4862215451597,1579.5313593297078,343.37638246298,10129.576922241442,2202.0819396177053
NY,other drained,3492.3735,4994.922139717775,7440.50312984179,1617.5006804003892,10129.576922241442,2202.0819396177053
OR,ag land,7338.226500000001,8439.115066820395,47802.55714095772,10391.860248034287,68167.64262654654,14819.052744901424
OR,impoundment,5812.1856,12883.07997119305,12754.249171481119,2772.6628633654605,68167.64262654654,14819.052744901424
OR,other drained,3166.7481000000002,3962.8124632595905,7610.836314107712,1654.5296335016765,68167.64262654654,14819.052744901424
PA,ag land,8.8452,8.86718896818455,50.22734066014044,10.918987100030531,2332.1330349578357,506.9854423821381
PA,impoundment,896.7429,1782.6320406150342,1764.8057202088837,383.6534174367138,2332.1330349578357,506.9854423821381
PA,other drained,219.1437,342.9746089017483,517.0999740888113,112.41303784539377,2332.1330349578357,506.9854423821381
RI,ag land,7.542,7.634857366240002,43.24691660475932,9.401503609730288,3699.6282098901097,804.2670021500239
RI,impoundment,1318.5405,2613.0617674004666,2586.9311497264616,562.376336897057,3699.6282098901097,804.2670021500239
RI,other drained,464.25870000000003,663.6362435651404,1069.4501435588888,232.4891616432367,3699.6282098901097,804.2670021500239
SC,ag land,502.6005,532.503611611209,3016.3155876249784,655.7207799184736,133131.46181002405,28941.622132613924
SC,impoundment,54144.573300000004,111096.23124097106,109985.26892856133,23909.841071426377,133131.46181002405,28941.622132613924
SC,other drained,8898.4647,11311.97751129005,20129.877293837726,4376.060281269071,133131.46181002405,28941.622132613924
TX,ag land,2007.2088,2169.471057743516,12288.760537366603,2671.4696820362183,97323.1540034287,21157.20739204972
TX,impoundment,35466.7734,73113.12120416193,72381.9899921203,15735.215215678327,97323.1540034287,21157.20739204972
TX,other drained,4935.234600000001,7296.832224702096,12652.403473941804,2750.522494335175,97323.1540034287,21157.20739204972
VA,ag land,826.695,897.0335880576016,5081.16064432783,1104.6001400712673,23123.805684040424,5026.914279139222
VA,impoundment,6362.2935,12690.453744629107,12563.549207182816,2731.2063493875685,23123.805684040424,5026.914279139222
VA,other drained,2586.7359,3307.2578035869087,5479.095832529777,1191.1077896803865,23123.805684040424,5026.914279139222
WA,ag land,20157.8175,21561.165517312034,122131.15220092435,26550.250478461818,156081.2094227323,33930.69770059398
WA,impoundment,11766.586500000001,23883.79685711694,23644.958888545767,5140.208454031689,156081.2094227323,33930.69770059398
WA,other drained,4317.1425,5576.604365140305,10305.098333262165,2240.238768100471,156081.2094227323,33930.69770059398
