state,quantity_metric,quality_metric,spatial_representativeness_metric,habitat_metric
ME,10.929107851574704,0.6071726584208169,0.046596981236111654,0.3470943253772725
OR,10.283848773252293,4.367871253155544,0.6962730874387165,0.7085345131344302
AL,9.951461167019959,0.9477582063828532,0.3985086522165854,0.9030883152732561
MS,5.408399368135592,0.7726284811622275,0.038396913724433254,0.7795703235774056
WA,4.511946051525809,1.0313019546344708,0.8178028718968201,0.299651466944846
CA,4.425503739830681,1.53855403455051,0.5615513831521204,0.9088501251384848
DE,3.2938916444353943,1.2352093666632729,0.43534373563343537,0.8258755713726187
MA,3.133768619158531,2.053158750483176,0.8832332716260249,0.9255735755216972
RI,2.6328258395726056,1.755217226381737,0.3707100110715147,0.940095225628579
TX,2.625869725257347,0.004046024229980504,0.8091658939484706,0.6890620779397245
NY,2.4819787250217686,NA,0.7506611602611618,0.8967248906656345
CT,2.2396086786768477,0.37326811311280794,0.6103185155681283,0.8012821271959792
NH,1.3565000653024732,NA,0.10306827414488294,0.8698813214882936
LA,1.3216172690948347,0.15176466247978965,1.0010921870122333,0.9229555436958884
MD,1.1825090338399282,0.018053573035724094,0.6974994284018693,0.7113085845706468
VA,1.068141322690449,0.06836104465218874,0.5503399211103702,0.6686075764834859
FL,0.9094882334385153,0.09445271436044882,0.7965700534511745,0.947400120912752
NJ,0.8326905324413976,0.21858126476586687,0.565318053280097,0.849025692759044
NC,0.5876844257823777,0.26370455003055404,0.6163623831671285,0.7252301807306993
GA,0.40668435411748793,0.11091391475931489,0.46913962818840443,0.8698047161283358
SC,0.31606072739022234,0.109934166048773,0.7648660971544621,0.8734324263978718
PA,NA,NA,NA,NA
DC,NA,NA,NA,NA
