state,habitat_simplified,estimated_area_ha
AL,marsh,14839.34937460114
AL,swamp,1510.637642580527
AL,scrub/shrub,478.7933801815817
AL,"seagrass, kelp and algal mats",49.13401228187034
AL,mangrove,4.028571428571427
CA,marsh,45029.546542772165
CA,"seagrass, kelp and algal mats",8118.607863534715
CA,scrub/shrub,4015.0165127085033
CA,swamp,683.3512058974597
CT,marsh,6773.443871762983
CT,swamp,921.852863055697
CT,scrub/shrub,322.04387622695936
CT,"seagrass, kelp and algal mats",19.777735287226847
DC,marsh,54.59725593809829
DC,swamp,25.63441116518516
DC,scrub/shrub,1.5827889104711854
DC,"seagrass, kelp and algal mats",0.2775931302293262
DE,marsh,31661.952102315754
DE,swamp,4139.688510752593
DE,scrub/shrub,598.3398456159764
DE,"seagrass, kelp and algal mats",31.09043058568453
FL,marsh,225610.8615773337
FL,mangrove,188386.11428571423
FL,"seagrass, kelp and algal mats",131484.79410673198
FL,scrub/shrub,78197.36237093952
FL,swamp,32733.977857433936
GA,marsh,157156.568944324
GA,swamp,26530.5399862674
GA,scrub/shrub,5463.175577005007
GA,mangrove,185.74285714285708
LA,marsh,842087.1826557507
LA,swamp,49479.88102811181
LA,"seagrass, kelp and algal mats",35093.18101219419
LA,scrub/shrub,22177.235960393038
MA,marsh,25595.75323080318
MA,swamp,1413.458263803201
MA,scrub/shrub,523.956257274431
MA,"seagrass, kelp and algal mats",228.93295591201056
MD,marsh,83928.81919128881
MD,swamp,24054.870031759412
MD,scrub/shrub,2763.561509978683
MD,"seagrass, kelp and algal mats",34.143955018207116
ME,marsh,14270.192464626405
ME,"seagrass, kelp and algal mats",8244.753237702622
ME,swamp,7642.191605514622
ME,scrub/shrub,1135.4443598103544
MS,marsh,25966.967720915243
MS,swamp,4472.039547817302
MS,scrub/shrub,1847.6510152276371
MS,"seagrass, kelp and algal mats",49.248248655779584
MS,mangrove,21.171428571428567
NC,marsh,107240.60519022055
NC,scrub/shrub,15196.32414593884
NC,swamp,10285.420649626985
NC,"seagrass, kelp and algal mats",1.9431519116052831
NH,marsh,2629.9563900735666
NH,swamp,192.60877392685703
NH,"seagrass, kelp and algal mats",79.18175745139115
NH,scrub/shrub,47.01814116399698
NJ,marsh,85142.59081996634
NJ,swamp,9414.77220397632
NJ,scrub/shrub,1500.2280114521745
NJ,"seagrass, kelp and algal mats",16.516791248644907
NY,marsh,21351.24890983654
NY,swamp,933.2124765706382
NY,scrub/shrub,927.2807378421169
NY,"seagrass, kelp and algal mats",156.70959343869526
OR,marsh,11288.362539342703
OR,scrub/shrub,3127.2572382273406
OR,swamp,2512.051331199431
OR,"seagrass, kelp and algal mats",1158.9425804336774
PA,marsh,526.239861597587
PA,swamp,94.0227178751022
PA,scrub/shrub,22.941543044181778
PA,"seagrass, kelp and algal mats",0.1387965651146631
RI,marsh,3244.3318007865773
RI,scrub/shrub,76.21175929350031
RI,swamp,71.79427742417242
RI,"seagrass, kelp and algal mats",26.04246882888631
SC,marsh,165690.36459273525
SC,swamp,44714.2109524024
SC,scrub/shrub,7795.794356451516
SC,"seagrass, kelp and algal mats",81.33478715719258
SC,mangrove,30.771428571428558
TX,marsh,223991.21146393372
TX,"seagrass, kelp and algal mats",17895.77079983334
TX,scrub/shrub,2664.302703847438
TX,swamp,2488.7786532297077
TX,mangrove,116.1428571428571
VA,marsh,83080.15347765798
VA,swamp,30542.18299117535
VA,scrub/shrub,3362.4316637183897
VA,"seagrass, kelp and algal mats",40.94498670882561
WA,"seagrass, kelp and algal mats",21140.173117390954
WA,marsh,10767.632585746846
WA,swamp,3985.1140825021007
WA,scrub/shrub,2893.0049575914736
